shoppingcartitemid,userid,classid,shoppingcartitemquantity,shoppingcartid,shoppingcartadddate,shoppingcartaddtime
1,479576454,42,1,897bl1f82eaahgmbjd1u2u4kdl,8/23/23,13:21:56
2,790956021,63,1,1in2453aun3dcpcm1mdu7ondo7,8/23/23,13:22:30
4,690037110,61,1,qkvt9dp61up1cigneh56bq4fdm,8/23/23,13:50:27
5,153708469,62,1,p5jhaqpv9noh2sr904mvr78uuu,8/23/23,14:43:08
6,714878286,60,1,87fc1t4dhsqb850pcfj25cjvum,8/23/23,15:42:55
7,690037110,62,1,6o1r9gl3ini1ja2t2cklqp6fna,8/23/23,16:10:15
8,725779696,42,1,6veib7863uo7iv82km5k69e891,8/23/23,19:00:03
9,157747870,42,1,004520g1lc6q3o9stknte19pao,8/23/23,19:05:50
10,668796277,59,1,6lsvjangph4lsuhcitdunmcpuh,8/23/23,21:03:16
11,668796277,62,1,6lsvjangph4lsuhcitdunmcpuh,8/23/23,21:03:40
12,819880427,63,1,pgue7ncv97n400o3olfjec163k,8/23/23,21:28:02
13,900352726,46,1,tq7ddb411l3dufj951ebripbqg,8/23/23,22:59:05
14,606158594,57,1,2mnbkafn1f9va2tpko3kkps8fv,8/23/23,23:15:01
15,540653094,58,1,256vfrcffquv99liqembkjonig,8/23/23,23:16:59
16,191467763,62,1,lv01dm76phed7rso2btos89d2u,8/24/23,00:00:42
17,865552850,47,1,8aatgjfo21a7bvgqmvpugg0q2v,8/24/23,08:32:50
18,811296478,57,1,1lnhgh477oapo3kveg5ka64tfb,8/24/23,08:53:26
19,452282372,61,1,j4c0dmgr0jauqukdf44hsce4pa,8/24/23,11:33:48
20,168028194,62,1,od221schlje2erkruqdsjk4ojc,8/24/23,11:35:39
21,3,58,1,2038t2jf5oikdedcqkosudgflq,8/24/23,11:50:51
22,427272517,47,2,2mrj33kalfhpe8dp1ffun8qdqc,8/24/23,14:08:13
23,720409547,47,1,qo2ofplmlrkjhg60a0eah5eop8,8/24/23,14:09:34
24,532816756,47,1,fgpg1ju3hpkrn4ansm4h0te4qo,8/24/23,14:41:14
25,258721850,43,1,njcs7kc3nv2bv96ccd3vduksmd,8/24/23,15:40:10
26,943494394,60,1,ds5ffef9adtavs3209m2ogsnv1,8/24/23,16:57:32
27,532816756,46,1,keknk7h2aeqt74apl0l5nhhqi6,8/24/23,17:59:32
28,751954509,47,1,0u2l4una0tr4k7qe2nketlufgg,8/24/23,19:21:09
